file,emotion,intensity,statement,repitition,actor
03-01-04-01-02-01-15.wav,sad,medium,Dogs are sitting by the door,01,15
03-01-07-02-02-01-15.wav,disgust,high,Dogs are sitting by the door,01,15
03-01-04-01-01-01-15.wav,sad,medium,Kids are talking by the door,01,15
03-01-04-01-02-02-15.wav,sad,medium,Dogs are sitting by the door,02,15
03-01-02-02-02-02-15.wav,calm,high,Dogs are sitting by the door,02,15
03-01-06-02-02-01-15.wav,fearful,high,Dogs are sitting by the door,01,15
03-01-08-01-02-01-15.wav,surprised,medium,Dogs are sitting by the door,01,15
03-01-02-02-01-02-15.wav,calm,high,Kids are talking by the door,02,15
03-01-04-02-02-02-15.wav,sad,high,Dogs are sitting by the door,02,15
03-01-07-02-01-02-15.wav,disgust,high,Kids are talking by the door,02,15
03-01-06-02-02-02-15.wav,fearful,high,Dogs are sitting by the door,02,15
03-01-04-02-01-01-15.wav,sad,high,Kids are talking by the door,01,15
03-01-03-02-02-02-15.wav,happy,high,Dogs are sitting by the door,02,15
03-01-05-02-01-01-15.wav,angry,high,Kids are talking by the door,01,15
03-01-02-02-02-01-15.wav,calm,high,Dogs are sitting by the door,01,15
03-01-02-02-01-01-15.wav,calm,high,Kids are talking by the door,01,15
03-01-02-01-01-02-15.wav,calm,medium,Kids are talking by the door,02,15
03-01-06-01-02-02-15.wav,fearful,medium,Dogs are sitting by the door,02,15
03-01-02-01-01-01-15.wav,calm,medium,Kids are talking by the door,01,15
03-01-08-02-02-01-15.wav,surprised,high,Dogs are sitting by the door,01,15
03-01-08-02-01-01-15.wav,surprised,high,Kids are talking by the door,01,15
03-01-01-01-01-02-15.wav,neutral,medium,Kids are talking by the door,02,15
03-01-03-01-02-02-15.wav,happy,medium,Dogs are sitting by the door,02,15
03-01-08-01-02-02-15.wav,surprised,medium,Dogs are sitting by the door,02,15
03-01-01-01-02-01-15.wav,neutral,medium,Dogs are sitting by the door,01,15
03-01-05-01-02-01-15.wav,angry,medium,Dogs are sitting by the door,01,15
03-01-05-01-02-02-15.wav,angry,medium,Dogs are sitting by the door,02,15
03-01-02-01-02-02-15.wav,calm,medium,Dogs are sitting by the door,02,15
03-01-06-01-02-01-15.wav,fearful,medium,Dogs are sitting by the door,01,15
03-01-07-01-02-02-15.wav,disgust,medium,Dogs are sitting by the door,02,15
03-01-04-02-02-01-15.wav,sad,high,Dogs are sitting by the door,01,15
03-01-06-02-01-01-15.wav,fearful,high,Kids are talking by the door,01,15
03-01-03-02-02-01-15.wav,happy,high,Dogs are sitting by the door,01,15
03-01-07-02-01-01-15.wav,disgust,high,Kids are talking by the door,01,15
03-01-03-01-01-01-15.wav,happy,medium,Kids are talking by the door,01,15
03-01-06-02-01-02-15.wav,fearful,high,Kids are talking by the door,02,15
03-01-05-01-01-02-15.wav,angry,medium,Kids are talking by the door,02,15
03-01-04-01-01-02-15.wav,sad,medium,Kids are talking by the door,02,15
03-01-04-02-01-02-15.wav,sad,high,Kids are talking by the door,02,15
03-01-05-02-02-02-15.wav,angry,high,Dogs are sitting by the door,02,15
03-01-06-01-01-02-15.wav,fearful,medium,Kids are talking by the door,02,15
03-01-03-02-01-02-15.wav,happy,high,Kids are talking by the door,02,15
03-01-05-02-01-02-15.wav,angry,high,Kids are talking by the door,02,15
03-01-08-02-01-02-15.wav,surprised,high,Kids are talking by the door,02,15
03-01-06-01-01-01-15.wav,fearful,medium,Kids are talking by the door,01,15
03-01-07-01-01-02-15.wav,disgust,medium,Kids are talking by the door,02,15
03-01-03-01-02-01-15.wav,happy,medium,Dogs are sitting by the door,01,15
03-01-03-02-01-01-15.wav,happy,high,Kids are talking by the door,01,15
03-01-08-01-01-02-15.wav,surprised,medium,Kids are talking by the door,02,15
03-01-08-02-02-02-15.wav,surprised,high,Dogs are sitting by the door,02,15
03-01-03-01-01-02-15.wav,happy,medium,Kids are talking by the door,02,15
03-01-07-02-02-02-15.wav,disgust,high,Dogs are sitting by the door,02,15
03-01-07-01-02-01-15.wav,disgust,medium,Dogs are sitting by the door,01,15
03-01-05-02-02-01-15.wav,angry,high,Dogs are sitting by the door,01,15
03-01-05-01-01-01-15.wav,angry,medium,Kids are talking by the door,01,15
03-01-07-01-01-01-15.wav,disgust,medium,Kids are talking by the door,01,15
03-01-08-01-01-01-15.wav,surprised,medium,Kids are talking by the door,01,15
03-01-02-01-02-01-15.wav,calm,medium,Dogs are sitting by the door,01,15
03-01-01-01-02-02-15.wav,neutral,medium,Dogs are sitting by the door,02,15
03-01-01-01-01-01-15.wav,neutral,medium,Kids are talking by the door,01,15
03-01-08-01-01-02-02.wav,surprised,medium,Kids are talking by the door,02,02
03-01-03-02-02-02-02.wav,happy,high,Dogs are sitting by the door,02,02
03-01-08-01-02-01-02.wav,surprised,medium,Dogs are sitting by the door,01,02
03-01-03-01-02-01-02.wav,happy,medium,Dogs are sitting by the door,01,02
03-01-05-02-02-02-02.wav,angry,high,Dogs are sitting by the door,02,02
03-01-02-01-01-01-02.wav,calm,medium,Kids are talking by the door,01,02
03-01-01-01-02-02-02.wav,neutral,medium,Dogs are sitting by the door,02,02
03-01-03-01-02-02-02.wav,happy,medium,Dogs are sitting by the door,02,02
03-01-05-02-02-01-02.wav,angry,high,Dogs are sitting by the door,01,02
03-01-07-02-02-01-02.wav,disgust,high,Dogs are sitting by the door,01,02
03-01-08-02-01-02-02.wav,surprised,high,Kids are talking by the door,02,02
03-01-02-02-02-01-02.wav,calm,high,Dogs are sitting by the door,01,02
03-01-07-01-01-02-02.wav,disgust,medium,Kids are talking by the door,02,02
03-01-07-02-02-02-02.wav,disgust,high,Dogs are sitting by the door,02,02
03-01-02-02-01-02-02.wav,calm,high,Kids are talking by the door,02,02
03-01-04-01-02-02-02.wav,sad,medium,Dogs are sitting by the door,02,02
03-01-06-02-02-02-02.wav,fearful,high,Dogs are sitting by the door,02,02
03-01-05-01-01-01-02.wav,angry,medium,Kids are talking by the door,01,02
03-01-03-01-01-02-02.wav,happy,medium,Kids are talking by the door,02,02
03-01-04-01-02-01-02.wav,sad,medium,Dogs are sitting by the door,01,02
03-01-03-01-01-01-02.wav,happy,medium,Kids are talking by the door,01,02
03-01-07-02-01-01-02.wav,disgust,high,Kids are talking by the door,01,02
03-01-05-01-02-01-02.wav,angry,medium,Dogs are sitting by the door,01,02
03-01-04-02-01-02-02.wav,sad,high,Kids are talking by the door,02,02
